N_LEVELS,N_PROF,salinity
0,570,33.73099899291992
0,577,35.435298919677734
0,600,34.073001861572266
0,606,34.737998962402344
0,611,-10000000000.0
0,612,34.505001068115234
0,628,-10000000000.0
0,629,36.49599838256836
0,632,34.67900085449219
0,635,36.41699981689453
0,636,34.0458984375
0,653,-10000000000.0
0,655,33.8671989440918
0,668,34.447994232177734
0,670,35.9371452331543
0,674,-10000000000.0
0,683,33.99599838256836
0,684,35.72700119018555
0,686,35.6775016784668
0,687,33.92279815673828
0,691,35.79999923706055
0,693,35.0161018371582
0,696,35.83700180053711
0,707,36.79372024536133
0,718,34.23699951171875
0,719,-10000000000.0
0,723,-10000000000.0
0,727,34.172401428222656
0,732,35.875999450683594
0,733,36.402000427246094
0,734,35.47200012207031
0,736,-10000000000.0
0,760,35.457000732421875
0,762,-10000000000.0
0,765,35.6349983215332
0,797,-10000000000.0
0,805,38.231998443603516
0,821,35.39906311035156
0,824,33.76067352294922
0,836,35.106998443603516
0,839,34.97700119018555
0,841,33.72200012207031
0,845,34.82109832763672
0,854,-10000000000.0
0,868,34.53200149536133
0,869,35.25
0,871,5.614999771118164
0,872,18.55900001525879
0,896,33.55699920654297
0,897,32.709999084472656
0,898,35.45859909057617
0,899,36.00083923339844
0,900,33.87870788574219
0,901,34.729000091552734
0,902,34.25400161743164
0,903,36.04999923706055
0,904,35.26900100708008
0,911,34.56999969482422
0,913,33.56999969482422
0,922,32.349998474121094
0,936,33.768001556396484
0,937,35.6870002746582
0,938,35.69960021972656
0,939,37.23284149169922
0,941,35.69499969482422
0,943,35.06050109863281
0,948,34.27640151977539
0,950,36.199310302734375
0,952,-10000000000.0
0,955,34.47999954223633
0,967,36.04835510253906
0,976,34.49647521972656
0,979,32.66270065307617
0,980,34.68383026123047
0,982,33.710201263427734
0,984,34.57699966430664
0,1007,34.125
0,1012,34.06719970703125
0,1014,35.68600082397461
0,1016,34.56999969482422
0,1022,35.97624969482422
0,1030,34.745201110839844
0,1033,34.06848907470703
0,1037,33.75199890136719
0,1038,35.23500061035156
0,1041,33.864898681640625
0,1043,-10000000000.0
0,1051,35.963111877441406
0,1062,37.20600128173828
0,1063,-10000000000.0
0,1065,33.80699920654297
0,1068,38.667999267578125
0,1069,33.83700180053711
0,1070,30.270000457763672
0,1079,34.63096618652344
0,1083,34.280399322509766
0,1084,-10000000000.0
0,1086,35.580101013183594
0,1088,34.4379997253418
0,1091,-10000000000.0
0,1092,36.07699966430664
0,1093,34.82899856567383
0,1095,34.55484390258789
0,1110,32.39435958862305
0,1125,35.47370147705078
0,1126,35.867000579833984
0,1127,35.21900177001953
0,1135,35.85200119018555
0,1151,35.16699981689453
0,1153,35.93299865722656
0,1154,37.88199996948242
0,1156,35.847999572753906
0,1161,35.69559860229492
0,1164,33.81494140625
0,1170,35.236000061035156
0,1177,35.94367980957031
0,1190,34.84600067138672
0,1195,35.98860168457031
0,1205,34.768924713134766
0,1208,35.213924407958984
0,1209,34.910579681396484
0,1210,33.43376922607422
0,1211,34.76900100708008
0,1216,37.64899826049805
0,1217,32.40599822998047
0,1228,36.01236343383789
